Datetime,Heart Rate
11/15/19 0:00,75
11/15/19 0:00,74
11/15/19 0:00,72
11/15/19 0:00,72
11/15/19 0:00,72
11/15/19 0:01,72
11/15/19 0:01,73
11/15/19 0:01,74
11/15/19 0:01,73
11/15/19 0:01,74
11/15/19 0:01,72
11/15/19 0:02,73
11/15/19 0:02,74
11/15/19 0:02,76
11/15/19 0:02,77
11/15/19 0:02,77
11/15/19 0:02,75
11/15/19 0:02,73
11/15/19 0:02,72
11/15/19 0:02,73
11/15/19 0:02,73
11/15/19 0:03,74
11/15/19 0:03,73
11/15/19 0:03,72
11/15/19 0:03,71
11/15/19 0:03,72
11/15/19 0:03,74
11/15/19 0:03,73
11/15/19 0:03,72
11/15/19 0:03,72
11/15/19 0:04,71
11/15/19 0:04,72
11/15/19 0:04,71
11/15/19 0:04,70
11/15/19 0:04,71
11/15/19 0:04,72
11/15/19 0:05,72
11/15/19 0:05,73
11/15/19 0:05,72
11/15/19 0:05,71
11/15/19 0:05,72
11/15/19 0:05,73
11/15/19 0:05,72
11/15/19 0:05,71
11/15/19 0:06,70
11/15/19 0:06,71
11/15/19 0:06,70
11/15/19 0:06,70
11/15/19 0:06,72
11/15/19 0:06,71
11/15/19 0:07,72
11/15/19 0:07,76
11/15/19 0:07,84
11/15/19 0:07,81
11/15/19 0:07,77
11/15/19 0:07,79
11/15/19 0:07,82
11/15/19 0:07,83
11/15/19 0:07,81
11/15/19 0:07,78
11/15/19 0:07,76
11/15/19 0:08,77
11/15/19 0:08,77
11/15/19 0:08,77
11/15/19 0:08,79
11/15/19 0:08,80
11/15/19 0:08,80
11/15/19 0:09,77
11/15/19 0:09,75
11/15/19 0:09,75
11/15/19 0:09,72
11/15/19 0:09,71
11/15/19 0:09,69
11/15/19 0:09,68
11/15/19 0:10,68
11/15/19 0:10,67
11/15/19 0:10,67
11/15/19 0:10,67
11/15/19 0:10,68
11/15/19 0:10,68
11/15/19 0:11,72
11/15/19 0:11,73
11/15/19 0:11,71
11/15/19 0:11,70
11/15/19 0:11,68
11/15/19 0:11,68
11/15/19 0:11,70
11/15/19 0:11,71
11/15/19 0:12,70
11/15/19 0:12,69
11/15/19 0:12,67
11/15/19 0:12,68
11/15/19 0:12,68
11/15/19 0:12,69
11/15/19 0:13,69
11/15/19 0:13,70
11/15/19 0:13,71
11/15/19 0:13,70
11/15/19 0:13,68
11/15/19 0:13,68
11/15/19 0:14,67
11/15/19 0:14,68
11/15/19 0:14,67
11/15/19 0:14,66
11/15/19 0:14,67
11/15/19 0:14,67
11/15/19 0:14,68
11/15/19 0:14,69
11/15/19 0:14,69
11/15/19 0:15,68
11/15/19 0:15,68
11/15/19 0:15,69
11/15/19 0:15,70
11/15/19 0:15,69
11/15/19 0:15,68
11/15/19 0:16,68
11/15/19 0:16,68
11/15/19 0:16,68
11/15/19 0:16,68
11/15/19 0:16,69
11/15/19 0:16,70
11/15/19 0:17,70
11/15/19 0:17,70
11/15/19 0:17,70
11/15/19 0:17,69
11/15/19 0:17,70
11/15/19 0:18,70
11/15/19 0:18,69
11/15/19 0:18,68
11/15/19 0:18,66
11/15/19 0:18,65
11/15/19 0:18,66
11/15/19 0:18,66
11/15/19 0:19,67
11/15/19 0:19,67
11/15/19 0:19,67
11/15/19 0:19,67
11/15/19 0:19,67
11/15/19 0:19,67
11/15/19 0:19,66
11/15/19 0:19,66
11/15/19 0:19,67
11/15/19 0:19,68
11/15/19 0:20,67
11/15/19 0:20,67
11/15/19 0:20,67
11/15/19 0:20,68
11/15/19 0:20,70
11/15/19 0:20,69
11/15/19 0:21,69
11/15/19 0:21,69
11/15/19 0:21,70
11/15/19 0:21,71
11/15/19 0:21,72
11/15/19 0:22,71
11/15/19 0:22,71
11/15/19 0:22,71
11/15/19 0:22,70
11/15/19 0:22,70
11/15/19 0:22,70
11/15/19 0:23,69
11/15/19 0:23,69
11/15/19 0:23,68
11/15/19 0:23,68
11/15/19 0:23,68
11/15/19 0:23,70
11/15/19 0:24,71
11/15/19 0:24,71
11/15/19 0:24,72
11/15/19 0:24,73
11/15/19 0:24,72
11/15/19 0:24,72
11/15/19 0:24,71
11/15/19 0:25,70
11/15/19 0:25,70
11/15/19 0:25,69
11/15/19 0:25,69
11/15/19 0:25,70
11/15/19 0:26,71
11/15/19 0:26,72
11/15/19 0:26,70
11/15/19 0:26,71
11/15/19 0:26,72
11/15/19 0:26,73
11/15/19 0:26,74
11/15/19 0:27,73
11/15/19 0:27,72
11/15/19 0:27,70
11/15/19 0:27,70
11/15/19 0:27,71
11/15/19 0:27,72
11/15/19 0:27,71
11/15/19 0:28,70
11/15/19 0:28,70
11/15/19 0:28,71
11/15/19 0:28,72
11/15/19 0:28,71
11/15/19 0:28,70
11/15/19 0:28,69
11/15/19 0:29,70
11/15/19 0:29,71
11/15/19 0:29,70
11/15/19 0:29,69
11/15/19 0:29,69
11/15/19 0:29,70
11/15/19 0:30,71
11/15/19 0:30,72
11/15/19 0:30,73
11/15/19 0:30,73
11/15/19 0:30,73
11/15/19 0:31,73
11/15/19 0:31,74
11/15/19 0:31,72
11/15/19 0:31,71
11/15/19 0:31,70
11/15/19 0:31,70
11/15/19 0:31,70
11/15/19 0:32,70
11/15/19 0:32,70
11/15/19 0:32,69
11/15/19 0:32,69
11/15/19 0:32,69
11/15/19 0:32,71
11/15/19 0:32,71
11/15/19 0:33,70
11/15/19 0:33,69
11/15/19 0:33,69
11/15/19 0:33,69
11/15/19 0:33,70
11/15/19 0:33,70
11/15/19 0:33,69
11/15/19 0:34,69
11/15/19 0:34,68
11/15/19 0:34,69
11/15/19 0:34,69
11/15/19 0:34,70
11/15/19 0:35,70
11/15/19 0:35,71
11/15/19 0:35,71
11/15/19 0:35,74
11/15/19 0:35,74
11/15/19 0:35,72
11/15/19 0:35,71
11/15/19 0:35,70
11/15/19 0:36,69
11/15/19 0:36,69
11/15/19 0:36,69
11/15/19 0:36,69
11/15/19 0:36,69
11/15/19 0:36,70
11/15/19 0:37,77
11/15/19 0:37,89
11/15/19 0:37,83
11/15/19 0:37,79
11/15/19 0:37,81
11/15/19 0:37,81
11/15/19 0:37,75
11/15/19 0:37,73
11/15/19 0:37,74
11/15/19 0:37,74
11/15/19 0:38,79
11/15/19 0:38,78
11/15/19 0:38,78
11/15/19 0:38,81
11/15/19 0:38,85
11/15/19 0:39,83
11/15/19 0:39,82
11/15/19 0:39,81
11/15/19 0:39,79
11/15/19 0:39,77
11/15/19 0:39,74
11/15/19 0:39,73
11/15/19 0:39,72
11/15/19 0:39,71
11/15/19 0:40,70
11/15/19 0:40,69
11/15/19 0:40,70
11/15/19 0:40,71
11/15/19 0:40,71
11/15/19 0:40,71
11/15/19 0:40,74
11/15/19 0:40,75
11/15/19 0:41,76
11/15/19 0:41,77
11/15/19 0:41,76
11/15/19 0:41,75
11/15/19 0:41,73
11/15/19 0:41,71
11/15/19 0:41,70
11/15/19 0:41,69
11/15/19 0:41,69
11/15/19 0:41,68
11/15/19 0:41,68
11/15/19 0:41,67
11/15/19 0:42,66
11/15/19 0:42,66
11/15/19 0:42,67
11/15/19 0:42,66
11/15/19 0:42,66
11/15/19 0:42,70
11/15/19 0:42,73
11/15/19 0:43,71
11/15/19 0:43,69
11/15/19 0:43,67
11/15/19 0:43,66
11/15/19 0:43,67
11/15/19 0:43,67
11/15/19 0:43,68
11/15/19 0:44,68
11/15/19 0:44,68
11/15/19 0:44,68
11/15/19 0:44,68
11/15/19 0:44,68
11/15/19 0:44,67
11/15/19 0:44,67
11/15/19 0:45,67
11/15/19 0:45,67
11/15/19 0:45,67
11/15/19 0:45,67
11/15/19 0:45,67
11/15/19 0:46,67
11/15/19 0:46,66
11/15/19 0:46,66
11/15/19 0:46,66
11/15/19 0:46,66
11/15/19 0:46,67
11/15/19 0:46,67
11/15/19 0:47,67
11/15/19 0:47,67
11/15/19 0:47,67
11/15/19 0:47,68
11/15/19 0:47,68
11/15/19 0:48,69
11/15/19 0:48,69
11/15/19 0:48,69
11/15/19 0:48,68
11/15/19 0:48,69
11/15/19 0:48,68
11/15/19 0:48,68
11/15/19 0:48,67
11/15/19 0:49,67
11/15/19 0:49,68
11/15/19 0:49,67
11/15/19 0:49,67
11/15/19 0:49,66
11/15/19 0:49,65
11/15/19 0:49,65
11/15/19 0:49,66
11/15/19 0:50,66
11/15/19 0:50,66
11/15/19 0:50,67
11/15/19 0:50,66
11/15/19 0:50,66
11/15/19 0:50,67
11/15/19 0:50,66
11/15/19 0:51,67
11/15/19 0:51,68
11/15/19 0:51,68
11/15/19 0:51,68
11/15/19 0:51,68
11/15/19 0:51,68
11/15/19 0:52,67
11/15/19 0:52,67
11/15/19 0:52,68
11/15/19 0:52,67
11/15/19 0:52,67
11/15/19 0:53,67
11/15/19 0:53,68
11/15/19 0:53,68
11/15/19 0:53,68
11/15/19 0:54,68
11/15/19 0:54,69
11/15/19 0:54,69
11/15/19 0:54,69
11/15/19 0:54,69
11/15/19 0:55,69
11/15/19 0:55,68
11/15/19 0:55,69
11/15/19 0:55,69
11/15/19 0:55,70
11/15/19 0:56,69
11/15/19 0:56,68
11/15/19 0:56,68
11/15/19 0:56,69
